Country Name,Country Code,population size
Aruba,ABW,105845.0
Afghanistan,AFG,37172386.0
Angola,AGO,30809762.0
Albania,ALB,2866376.0
Andorra,AND,77006.0
Arab World,ARB,419790588.0
United Arab Emirates,ARE,9630959.0
Argentina,ARG,44494502.0
Armenia,ARM,2951776.0
American Samoa,ASM,55465.0
Antigua and Barbuda,ATG,96286.0
Australia,AUS,24992369.0
Austria,AUT,8847037.0
Azerbaijan,AZE,9942334.0
Burundi,BDI,11175378.0
Belgium,BEL,11422068.0
Benin,BEN,11485048.0
Burkina Faso,BFA,19751535.0
Bangladesh,BGD,161356039.0
Bulgaria,BGR,7024216.0
Bahrain,BHR,1569439.0
"Bahamas, The",BHS,385640.0
Bosnia and Herzegovina,BIH,3323929.0
Belarus,BLR,9485386.0
Belize,BLZ,383071.0
Bermuda,BMU,63968.0
Bolivia,BOL,11353142.0
Brazil,BRA,209469333.0
Barbados,BRB,286641.0
Brunei Darussalam,BRN,428962.0
Bhutan,BTN,754394.0
Botswana,BWA,2254126.0
Central African Republic,CAF,4666377.0
Canada,CAN,37058856.0
Central Europe and the Baltics,CEB,102511922.0
Switzerland,CHE,8516543.0
Channel Islands,CHI,170499.0
Chile,CHL,18729160.0
China,CHN,1392730000.0
Cote d'Ivoire,CIV,25069229.0
Cameroon,CMR,25216237.0
"Congo, Dem. Rep.",COD,84068091.0
"Congo, Rep.",COG,5244363.0
Colombia,COL,49648685.0
Comoros,COM,832322.0
Cabo Verde,CPV,543767.0
Costa Rica,CRI,4999441.0
Caribbean small states,CSS,7358965.0
Cuba,CUB,11338138.0
Curacao,CUW,159849.0
Cayman Islands,CYM,64174.0
Cyprus,CYP,1189265.0
Czech Republic,CZE,10625695.0
Germany,DEU,82927922.0
Djibouti,DJI,958920.0
Dominica,DMA,71625.0
Denmark,DNK,5797446.0
Dominican Republic,DOM,10627165.0
Algeria,DZA,42228429.0
East Asia & Pacific (excluding high income),EAP,2081651801.0
Early-demographic dividend,EAR,3249140605.0
East Asia & Pacific,EAS,2328220870.0
Europe & Central Asia (excluding high income),ECA,417797257.0
Europe & Central Asia,ECS,918793590.0
Ecuador,ECU,17084357.0
"Egypt, Arab Rep.",EGY,98423595.0
Euro area,EMU,341783171.0
Eritrea,ERI,
Spain,ESP,46723749.0
Estonia,EST,1320884.0
Ethiopia,ETH,109224559.0
European Union,EUU,513213363.0
Fragile and conflict affected situations,FCS,515215936.0
Finland,FIN,5518050.0
Fiji,FJI,883483.0
France,FRA,66987244.0
Faroe Islands,FRO,48497.0
"Micronesia, Fed. Sts.",FSM,112640.0
Gabon,GAB,2119275.0
United Kingdom,GBR,66488991.0
Georgia,GEO,3731000.0
Ghana,GHA,29767108.0
Gibraltar,GIB,33718.0
Guinea,GIN,12414318.0
"Gambia, The",GMB,2280102.0
Guinea-Bissau,GNB,1874309.0
Equatorial Guinea,GNQ,1308974.0
Greece,GRC,10727668.0
Grenada,GRD,111454.0
Greenland,GRL,56025.0
Guatemala,GTM,17247807.0
Guam,GUM,165768.0
Guyana,GUY,779004.0
High income,HIC,1210312147.0
"Hong Kong SAR, China",HKG,7451000.0
Honduras,HND,9587522.0
Heavily indebted poor countries (HIPC),HPC,780234406.0
Croatia,HRV,4089400.0
Haiti,HTI,11123176.0
Hungary,HUN,9768785.0
IBRD only,IBD,4772284113.0
IDA & IBRD total,IBT,6412522234.0
IDA total,IDA,1640238121.0
IDA blend,IDB,555830605.0
Indonesia,IDN,267663435.0
IDA only,IDX,1084407516.0
Isle of Man,IMN,84077.0
India,IND,1352617328.0
Not classified,INX,
Ireland,IRL,4853506.0
Iran,IRN,81800269.0
Iraq,IRQ,38433600.0
Iceland,ISL,353574.0
Israel,ISR,8883800.0
Italy,ITA,60431283.0
Jamaica,JAM,2934855.0
Jordan,JOR,9956011.0
Japan,JPN,126529100.0
Kazakhstan,KAZ,18276499.0
Kenya,KEN,51393010.0
Kyrgyz Republic,KGZ,6315800.0
Cambodia,KHM,16249798.0
Kiribati,KIR,115847.0
St. Kitts and Nevis,KNA,52441.0
"Korea, Rep.",KOR,51635256.0
Kuwait,KWT,4137309.0
Latin America & Caribbean (excluding high income),LAC,609013934.0
Lao PDR,LAO,7061507.0
Lebanon,LBN,6848925.0
Liberia,LBR,4818977.0
Libya,LBY,6678567.0
St. Lucia,LCA,181889.0
Latin America & Caribbean,LCN,641357515.0
Least developed countries: UN classification,LDC,1009662578.0
Low income,LIC,705417321.0
Liechtenstein,LIE,37910.0
Sri Lanka,LKA,21670000.0
Lower middle income,LMC,3022905169.0
Low & middle income,LMY,6383958209.0
Lesotho,LSO,2108132.0
Late-demographic dividend,LTE,2288665963.0
Lithuania,LTU,2789533.0
Luxembourg,LUX,607728.0
Latvia,LVA,1926542.0
"Macao SAR, China",MAC,631636.0
St. Martin (French part),MAF,37264.0
Morocco,MAR,36029138.0
Monaco,MCO,38682.0
Moldova,MDA,3545883.0
Madagascar,MDG,26262368.0
Maldives,MDV,515696.0
Middle East & North Africa,MEA,448912859.0
Mexico,MEX,126190788.0
Marshall Islands,MHL,58413.0
Middle income,MIC,5678540888.0
North Macedonia,MKD,2082958.0
Mali,MLI,19077690.0
Malta,MLT,483530.0
Myanmar,MMR,53708395.0
Middle East & North Africa (excluding high income),MNA,382896715.0
Montenegro,MNE,622345.0
Mongolia,MNG,3170208.0
Northern Mariana Islands,MNP,56882.0
Mozambique,MOZ,29495962.0
Mauritania,MRT,4403319.0
Mauritius,MUS,1265303.0
Malawi,MWI,18143315.0
Malaysia,MYS,31528585.0
North America,NAC,364290258.0
Namibia,NAM,2448255.0
New Caledonia,NCL,284060.0
Niger,NER,22442948.0
Nigeria,NGA,195874740.0
Nicaragua,NIC,6465513.0
Netherlands,NLD,17231017.0
Norway,NOR,5314336.0
Nepal,NPL,28087871.0
Nauru,NRU,12704.0
New Zealand,NZL,4885500.0
OECD members,OED,1303529456.0
Oman,OMN,4829483.0
Other small states,OSS,30758989.0
Pakistan,PAK,212215030.0
Panama,PAN,4176873.0
Peru,PER,31989256.0
Philippines,PHL,106651922.0
Palau,PLW,17907.0
Papua New Guinea,PNG,8606316.0
Poland,POL,37978548.0
Pre-demographic dividend,PRE,919485393.0
Puerto Rico,PRI,3195153.0
"Korea, Dem. People’s Rep.",PRK,25549819.0
Portugal,PRT,10281762.0
Paraguay,PRY,6956071.0
West Bank and Gaza,PSE,4569087.0
Pacific island small states,PSS,2457367.0
Post-demographic dividend,PST,1109997273.0
French Polynesia,PYF,277679.0
Qatar,QAT,2781677.0
Romania,ROU,19473936.0
Russian Federation,RUS,144478050.0
Rwanda,RWA,12301939.0
South Asia,SAS,1814388744.0
Saudi Arabia,SAU,33699947.0
Sudan,SDN,41801533.0
Senegal,SEN,15854360.0
Singapore,SGP,5638676.0
Solomon Islands,SLB,652858.0
Sierra Leone,SLE,7650154.0
El Salvador,SLV,6420744.0
San Marino,SMR,33785.0
Somalia,SOM,15008154.0
Serbia,SRB,6982084.0
Sub-Saharan Africa (excluding high income),SSA,1078209758.0
South Sudan,SSD,10975920.0
Sub-Saharan Africa,SSF,1078306520.0
Small states,SST,40575321.0
Sao Tome and Principe,STP,211028.0
Suriname,SUR,575991.0
Slovak Republic,SVK,5447011.0
Slovenia,SVN,2067372.0
Sweden,SWE,10183175.0
Eswatini,SWZ,1136191.0
Sint Maarten (Dutch part),SXM,40654.0
Seychelles,SYC,96762.0
Syrian Arab Republic,SYR,16906283.0
Turks and Caicos Islands,TCA,37665.0
Chad,TCD,15477751.0
East Asia & Pacific (IDA & IBRD countries),TEA,2056064424.0
Europe & Central Asia (IDA & IBRD countries),TEC,459865205.0
Togo,TGO,7889094.0
Thailand,THA,69428524.0
Tajikistan,TJK,9100837.0
Turkmenistan,TKM,5850908.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,625569713.0
Timor-Leste,TLS,1267972.0
Middle East & North Africa (IDA & IBRD countries),TMN,378327628.0
Tonga,TON,103197.0
South Asia (IDA & IBRD),TSA,1814388744.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,1078306520.0
Trinidad and Tobago,TTO,1389858.0
Tunisia,TUN,11565204.0
Turkey,TUR,82319724.0
Tuvalu,TUV,11508.0
Tanzania,TZA,56318348.0
Uganda,UGA,42723139.0
Ukraine,UKR,44622516.0
Upper middle income,UMC,2655635719.0
Uruguay,URY,3449299.0
US,USA,327167434.0
Uzbekistan,UZB,32955400.0
St. Vincent and the Grenadines,VCT,110210.0
"Venezuela, RB",VEN,28870195.0
British Virgin Islands,VGB,29802.0
Virgin Islands (U.S.),VIR,106977.0
Vietnam,VNM,95540395.0
Vanuatu,VUT,292680.0
World,WLD,7594270356.0
Samoa,WSM,196130.0
Kosovo,XKX,1845300.0
"Yemen, Rep.",YEM,28498687.0
South Africa,ZAF,57779622.0
Zambia,ZMB,17351822.0
Zimbabwe,ZWE,14439018.0
